"","Drug","drug_drugbank_standard","drug_pubchem","Enrichment.biomarker","biomarker_ensembl_standard","Marker.type","Biomarker.relationship","Biomarker.logical.conditions","biomarker_term","Disease","diseases_EFO_MONDO_standard","Targets","curator","raw_table","source","source_id","ID"
"118","Everolimus, Trastuzumab","DB01590,DB00072","6442177, 3001322","ESR1, PR, HER2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression,","ER positive, PR positive, HER2 positive but no expression","AND,AND","failed","Hormone-Refractory Metastatic Breast Cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT00912340",118
"119","ABX, cisplatin, Gemcitabine, Cisplatin","NA,DB00515,DB00441,DB00515","71657619, 135804801, 60750, 135804801","ESR1, PR, HER2","ENSG00000091831, ENSG00000134551, ENSG00000141736","protein expression, protein expression, protein expression,& amplification","negative, negative,negative","AND,AND","failed","Triple negative recurrent or advanced breast cancerBreast Cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02546934",119
"120","T-DM1, Abraxane, Lapatinib","DB05773,NA,DB01259","NA, 36314, 208908","ERBB2","ENSG00000141736","protein expression,& amplification","positive",NA,"failed","Metastatic HER2 Positive Breast Cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02073916",120
"121","Apatinib, paclitaxel, cisplatin","DB14765,DB01229,DB00515","45139106, 36314, 135804801","ESR1, PR","ENSG00000091831, ENSG00000134551","protein expression, protein expression","negative, negative","AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","breast invasive carcinoma","EFO_0000305",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03580395",121
"122",NA,NA,"46891828",NA,"ENSG00000183023",NA,NA,NA,"failed","breast cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02666079",122
"123","Bevacizumab-800CW",NA,NA,NA,"ENSG00000183023",NA,NA,NA,"failed","breast cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT02583568",123
"124","EC17",NA,"135564966",NA,"ENSG00000183023",NA,NA,NA,"failed","breast cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT01994369",124
"125","Pegfilgrastim, Doxorubicin, Cyclophosphamide","DB00019,DB00997,DB00531","NA, 443939, 2907",NA,"ENSG00000183023",NA,NA,NA,"failed","Breast Cancer","MONDO_0007254",NA,"Ben","Breast_cancer_CLINICALTRIAL_v7.xlsx","clinicaltrials.gov","NCT03575520",125
"126","Entinostat, Capecitabine","DB11841,DB01101","4261, 60953","ESR1, PR, EBBR2","ENSG00000091831, ENSG00000134551, NA","protein expression, protein expression, protein expression","Positve/negative, positive/negative, negative","OR, AND","ESR1 PROTEIN EXPRESSION POSITVE/NEGATIVE OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND EBBR2 PROTEIN EXPRESSION NEGATIVE","Metastatic Breast Cancer, Breast Cancer","MONDO_0007254","HDAC, DNA/RNA/Protein Synthesis","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03473639",126
"127","Talazoparib, Sacituzumab Govitecan","DB11760,DB12893","135565082, 91668186","ESR1, PR, EBBR2","ENSG00000091831, ENSG00000134551, NA","protein expression, protein expression, protein expression","Negative, negative, negative","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND EBBR2 PROTEIN EXPRESSION NEGATIVE","Metastatic Triple-Negative Breast Cancer","MONDO_0007254","PARP, Topoisomerase I-DNA covalent complexes","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04039230",127
"128","Trastuzumab, GDC-0084","DB00072,DB15186","3001322, 57384863","EBBR2",NA,"protein expression & amplification","Positve",NA,"EBBR2 PROTEIN EXPRESSION & AMPLIFICATION POSITVE","EBBR2-Positive Breast Cancer Brain Metastases","MONDO_0007254","EBBR2, PI3-Kinase","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03765983",128
"129","Aspirin, Tamoxifen, Doxorubicin,  Cyclophosphamide, Paclitaxel","DB00945,DB00675,DB00997,DB00531,DB01229","2244, 2733526, 443939, 2907, 36314","ESR1, EBBR2","ENSG00000091831, NA","protein expression, protein expression","Positve, negative","AND","ESR1 PROTEIN EXPRESSION POSITVE AND EBBR2 PROTEIN EXPRESSION NEGATIVE","Breast Cancer (Stage I-III)","MONDO_0007254","COX, Estrogen Receptors, DNA/DNA-topoisomerase II complex, DNA, Bcl2","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04038489",129
"130","nab-paclitaxel",NA,"36314","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Positive/Negative, Negative, Negative","AND, AND","EBBR2 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","primary invasive breast cancer and clinical stage I - III, first option Ⅳ","MONDO_0007254","Bcl2/GP60","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03959397",130
"131","Nivolumab, Ipilimumab","DB09035,DB06186","NA, NA","EBBR2, ER, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, negative/positive, negative/positive","AND/OR, AND/OR","EBBR2 PROTEIN EXPRESSION NEGATIVE AND/OR ER PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","metastatic breast cancer ","EFO_1000984","PD1, CTLA4","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03789110",131
"132","Simvastatin","DB00641","54454","EBBR2",NA,"protein expression & amplification","Positive",NA,"EBBR2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Breast Cancer Stage (Stage IV)","MONDO_0007254","UNK","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03324425",132
"133","Pembrolizumab, Tamoxifen","DB09037,DB00675","NA, 2733526","ESR1, EBBR2, PR","ENSG00000091831, NA, ENSG00000134551","mutation, protein expression, protein expression","Positve, negative, positive","AND, AND/OR","ESR1 MUTATION POSITVE AND EBBR2 PROTEIN EXPRESSION NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Breast Cancer Female","MONDO_0007254","PD1, Estrogen Receptors","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03879174",133
"134","Apatinib, Paclitaxel, Cisplatin","DB14765,DB01229,DB00515","45139106, 36314, 135804801","EBBR2",NA,"protein expression","Negative",NA,"EBBR2 PROTEIN EXPRESSION NEGATIVE","Breast Cancer","MONDO_0007254","VEGFR2, Bcl2, Replication and transcription of DNA","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03982485",134
"135","Palbociclib","DB09073","11431660","EBBR2, ESR1","NA, ENSG00000091831","protein expression, protein expression","Negative, Positive","AND","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Breast Cancer Stage (Stage II-III)","MONDO_0007254","CDK4/CDK6","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03609047",135
"136","Endocrine therapy",NA,NA,"EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, positive, positive","AND, AND/OR","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Breast Cancer Female, Malignant Neoplasm of Breast","MONDO_0007254","Hormone Receptors","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03969121",136
"137","Docetaxel,  Carboplatin, Trastuzumab, Pertuzumab, Epirubicin, Cyclophosphamide, Atezolizumab, Trastuzumab emtansine","DB01248,DB00958,DB00072,DB06366,DB00445,DB00531,DB11595,DB05773","148124, 56840877, 3001322, NA, 65348, 2907, NA, NA","EBBR2, ESR1, PR, PDl1","NA, ENSG00000091831, ENSG00000134551, ENSG00000120217","protein expression & amplification, protein expression, protein expression, protein expression","Positive, positive, positive, positve","AND, AND, AND","EBBR2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND PDL1 PROTEIN EXPRESSION POSITVE","Early-stage Breast Cancer","MONDO_0007254","VEGF/microtubule, DNA/Protein, EBBR2, EBBR2,  DNA/DNA-topoisomerase II complex, DNA, CD274, microtubules","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03894007",137
"138","Olaparib, Vorinostat","DB09074,DB02546","23725625, 5311","EBBR2",NA,"protein expression","Negative",NA,"EBBR2 PROTEIN EXPRESSION NEGATIVE","Breast Cancer Metastatic, Breast Cancer","MONDO_0007254","PARP, HDAC","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03742245",138
"139"," Endocrine therapy",NA,NA,"EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, positive, positive","AND, AND/OR","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Breast Neoplasms","MONDO_0007254","Hormone receptors","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04023292",139
"140","Niraparib, Trastuzumab","DB11793,DB00072","24958200, 3001322","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression & amplification, protein expression, protein expression","Positive, negativie/positive, negative/positive","AND/OR, AND/OR","EBBR2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVIE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Metastatic Breast Cancer, EBBR2 Positive Breast Carcinoma","MONDO_0007254","PARP1/PARP2, EBBR2","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03368729",140
"141","docetaxel, carboplatin, trastuzumab, Pertuzumab","DB01248,DB00958,DB00072,DB06366","148124, 56840877, 3001322, NA","EBBR2",NA,"protein expression & amplification","Positve",NA,"EBBR2 PROTEIN EXPRESSION & AMPLIFICATION POSITVE","Invasive breast carcinoma","EFO_1000307","VEGF/microtuble, DNA/Protein, EBBR2, EBBR2","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04094896",141
"142","Talazoparib, Avelumab","DB11760,DB11945","135565082, NA",NA,"ENSG00000183023",NA,NA,NA,"NA NA NA"," advanced breast cancer","MONDO_0007254","PARP, PDL1","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03964532",142
"143","ARV-471",NA,NA,"EBBR2, ESR1","NA, ENSG00000091831","protein expression, protein expression","Negative, Positive","AND","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Breast Cancer","MONDO_0007254","ESR1 ligand","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov"," NCT04072952",143
"144","nivolumab, paclitaxel, anthracycline, cyclophosphamide, Endocrine Therapy","DB09035,DB01229,NA,DB00531,NA","NA, 36314, NA, 2907, NA","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, positive, negative/positive","AND, AND","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Breast Cancer","MONDO_0007254","PD1, Bcl2, DNA/DNA-topoisomerase II complex, DNA,  hormone receptors","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04109066",144
"145","KN035, Trastuzumab, Docetaxel","NA,DB00072,DB01248","NA, 3001322, 148124","EBBR2",NA,"protein expression","Positive",NA,"EBBR2 PROTEIN EXPRESSION POSITIVE","Breast Cancer","MONDO_0007254","PDL1,EBBR2, VEGF/microtuble","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04034823",145
"146","Rucaparib","DB12332","9931954","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","negative, negative, negative","AND, AND","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","TNBC Breast Cancer  (Stage I-III)","MONDO_0007254","PDL1","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03911453",146
"147","GMI-1359",NA,NA,"ESR1, PR","ENSG00000091831, ENSG00000134551","protein expression, protein expression","Positive, Positive","AND/OR","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Breast Cancer Metastatic, Breast Cancer","MONDO_0007254","CXCR4/E-selectin/sialyl-Lewis x antigen","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04197999",147
"148","Palbociclib, Letrozole, Trastuzumab, Pertuzumab","DB09073,DB01006,DB00072,DB06366","11431660, 3902, 3001322, NA","ESR1, EBBR2","ENSG00000091831, NA","protein expression, protein expression/protein expression & amplification","Positive, Positive","AND, AND","failed","Breast Cancer","MONDO_0007254","CDK4/CDK6, aromatase, EBBR2, EBBR2","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03644186",148
"149","VRP-EBBR2, Pembrolizumab","NA,DB09037","NA, NA","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Positive, negative, negative","AND, AND","EBBR2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","Breast Cancer","MONDO_0007254","EBBR2 RNA, PD1","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03632941",149
"150","Eribulin","DB08871","11354606","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, negative/positive, negative/positive","AND, AND/OR","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Metastatic Breast Cancer","EFO_1000984","Tubulin","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03637868",150
"151","Ribociclib, Letrozole OR Anastrozole, Goserelin","DB11730,NA,DB00014","44631912, NA, 5311128","EBBR2, PR,ESR1","NA, ENSG00000134551, ENSG00000091831","protein expression, protein expression, protein expression","Negative, positive, positive","AND, AND/OR","EBBR2 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","Advanced Breast Cancer","MONDO_0007254","CDK4/CDK6, aromatase OR aromatase, GnRH receptors","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03822468",151
"152","Ipilimumab, Nivolumab","DB06186,DB09035","NA, NA","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, negative, negative","AND, AND","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","TNBC Breast Cancer","MONDO_0007254","CTLA4, PD1","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03546686",152
"153","Metformin Hydrochloride, Doxorubicin, cyclophosphamide, Paclitaxel","NA,DB00997,DB00531,DB01229","14219, 443939, 2907, 36314",NA,"ENSG00000183023",NA,NA,NA,"NA NA NA","Breast cancer","MONDO_0007254","NADPH:ubiquinone oxidoreductase, DNA/DNA-topoisomerase II complex, DNA, Bcl2","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04170465",153
"154","Palbociclib, Exemestane, Goserelin","DB09073,DB00990,DB00014","11431660, 60198, 5311128","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, positive, positive","AND, AND/OR","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Metastatic Breast Cancer","EFO_1000984","CDK4/CDK6, aromatase, GnRH receptors","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT02917005",154
"155","Eribulin","DB08871","11354606","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, positive, positive","AND, AND/OR","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","locally-recurrent or metastatic breast cancer","MONDO_0007254","Tubulin","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03795012",155
"156","Ribociclib, letrozole","DB11730,DB01006","44631912, 3902","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, Positive, negative/positive","AND, AND","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","non-metastatic primary luminal breast cancer (Stage II-III)","MONDO_0007254","UNK","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03283384",156
"157","eribulin and nivolumab",NA,NA,"EBBR2, ESR1","NA, ENSG00000091831","protein expression, protein expression","Negative, negative/positive","AND","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE","Metastatic Breast Cancer","EFO_1000984","UNK","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04061863",157
"158","Pembrolizumab, Trastuzumab Biosimilar ABP 980, Pertuzumab","DB09037,NA,DB06366","NA, NA, NA","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression & amplification, protein expression, protein expression","Positive, negative/positive, negative/positive","AND/OR, AND/OR","EBBR2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION NEGATIVE/POSITIVE AND/OR PR PROTEIN EXPRESSION NEGATIVE/POSITIVE","Breast Cancer","MONDO_0007254","UNK","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03988036",158
