"","Drug","drug_drugbank_standard","drug_pubchem","Enrichment.biomarker","biomarker_ensembl_standard","Marker.type","Biomarker.relationship","Biomarker.logical.conditions","biomarker_term","Disease","diseases_EFO_MONDO_standard","Targets","curator","raw_table","source","source_id","ID"
"159","CFI-400945, Durvalumab","NA,DB11714","58486178, NA","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, negative, negative","AND, AND","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE","TNBC Breast Cancer","MONDO_0007254","PLK4, PDl1","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04176848",159
"160","Ribociclib, Letrozole OR Anastrozole, Goserelin","DB11730,NA,DB00014","44631912, NA, 5311128","EBBR2, ESR1, PR","NA, ENSG00000091831, ENSG00000134551","protein expression, protein expression, protein expression","Negative, positive, positive","AND, AND/OR","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Premenopausal or perimenopausal locally advanced or metastatic breast cancer","MONDO_0007254","UNK","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT03839823",160
"161","nab-paclitaxel",NA,"36314","EBBR2, ESR1","NA, ENSG00000091831","protein expression, protein expression","Negative, Positive","AND","EBBR2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Recurrent or metastatic breast cancer","MONDO_0007254","UNK","Tyler","Breast Cancer (LT NCT04194684, 1-50)_tyler.xlsx","clinicaltrials.gov","NCT04194684",161
"162","Albumin-bound paclitaxel, carboplatin","NA,DB00958","NA, 56840877","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","Protein Expression, Protein expression, Protein Expression","Negative, Negative, Negative","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Triple negative Breast Cancer","EFO_0005537","Gp60/Bcl2, DNA/Protein","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04137653",162
"163","Nivolumab, Ipilimumab","DB09035,DB06186","NA, NA","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","Protein Expression, Protein expression, Protein Expression","Negative, Negative, Negative","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Triple negative Breast Cancer","EFO_0005537","PD1, CTLA4","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03818685",163
"164","Imipramine","DB00458","8228","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","Protein Expression, Protein expression, Protein Expression & amplification","Negative, Negative, Negative","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION & AMPLIFICATION NEGATIVE","Triple negative Breast Cancer","EFO_0005537","FoxM1","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03122444",164
"165","Albumin-bound paclitaxel, anthracycline, cyclophosphamide","NA,NA,DB00531","NA, NA, 2907","ERBB2, PR, ESR1","ENSG00000141736, ENSG00000134551, ENSG00000091831","Protein Expression, Protein expression, Protein Expression","Positive, Positive, Positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","Breast Cancer (Stage II-III)","MONDO_0007254","Gp60/Bcl2, DNA, DNA","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04182568",165
"166","Palbociclib, Letrozole","DB09073,DB01006","11431660, 3902","ERBB2, PR, ESR1","ENSG00000141736, ENSG00000134551, ENSG00000091831","Protein Expression, Protein expression, Protein Expression","Negative, Positive, Positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION POSITIVE AND/OR ESR1 PROTEIN EXPRESSION POSITIVE","Breast Cancer","MONDO_0007254","CDK4/CDK6, aromatase","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04047758",166
"167","Albumin-bound paclitaxel, carboplatin","NA,DB00958","NA, 56840877","ESR1, PR, ERBB2","ENSG00000091831, ENSG00000134551, ENSG00000141736","Protein Expression, Protein expression, Protein Expression","Negative, Negative, Negative","AND, AND","ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Triple negative Breast Cancer (II-III)","EFO_0005537","Gp60/Bcl2, DNA/Protein","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04136782",167
"168","Pyrotinib, Etoposide","DB14993,DB00773","51039030, 36462","ERBB2","ENSG00000141736","Protein Expression & Amplification","Positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Locally Advanced or Metastatic Breast Cancer","MONDO_0007254","ERBB2, Topoisomerase II/DNA","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03923179",168
"169","Docetaxel, ritonavir","DB01248,DB00503","148124, 392622","ERBB2","ENSG00000141736","Protein Expression","Negative",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Metastatic/Recurrent Breast Cancer","MONDO_0007254","Microtubles, UNK","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03890744",169
"170","Durvalumab, Trastuzumab, Pertuzumab","DB11714,DB00072,DB06366","NA, 3001322, NA","ERBB2, PR, ESR1","ENSG00000141736, ENSG00000134551, ENSG00000091831","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","Positive, Negative, Negative","AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","Breast Cancer (I-II)","MONDO_0007254","PDL1, ERBB2, ERBB2","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03820141",170
"171","paclitaxel, trastuzumab, carboplatin, pertuzumab","DB01229,DB00072,DB00958,DB06366","36314, 3001322, 56840877, NA","ERBB2, PR, ESR1","ENSG00000141736, ENSG00000134551, ENSG00000091831","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","Positive, Negative, Negative","AND, AND","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE","Breast Cancer (Stage II-III)","MONDO_0007254","Bcl2, ERBB2, DNA/Protein, ERBB2","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03820063",171
"172","Onapristone","DB12637","5311505","ESR1, PR, ERBB2, Ki67","ENSG00000091831, ENSG00000134551, ENSG00000141736, ENSG00000148773","Protein Expression, Protein expression, Protein Expression, Protein expression","Positive, Positive, Negative, Positive","AND, AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND PR PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","Breast Cancer (I-II)","MONDO_0007254","progesterone receptor","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04142892",172
"173","pembrolizumab, pegylated liposomal doxorubicin","DB09037,NA","NA, NA","ESR1, ERBB2","ENSG00000091831, ENSG00000141736","Protein Expression, Protein Expression","Positive, Negative","AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Metastatic Breast Cancer (III-IV)","MONDO_0007254","PD1, Topoisomerase II/DNA","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03591276",173
"174","Pyrotinib, Capecitabine","DB14993,DB01101","51039030, 60953","ERBB2","ENSG00000141736","Protein Expression & Amplification","Positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE","Breast Cancer","MONDO_0007254","ERBB2, DNA/RNA/Protein Synthesis","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03923166",174
"175","Pembrolizumab, Paclitaxel","DB09037,DB01229","NA, 36314","ESR1, ERBB2, Ki67","ENSG00000091831, ENSG00000141736, ENSG00000148773","Protein Expression, Protein expression, Protein Expression","Positive, Negative, Positive","AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","Locally Advanced or Metastatic Luminal B Breast Cancer","MONDO_0007254","PDL, Bcl2","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03841747",175
"176","Pyrotinib, albumin-bound paclitaxel, Trastuzumab, eprirubicin, cyclophosphamide","DB14993,NA,DB00072,NA,DB00531","51039030, NA, 3001322, NA, 2907","ERBB2","ENSG00000141736","Protein Expression &Amplification/Protein Expression","Positive",NA,"ERBB2 PROTEIN EXPRESSION &AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","Breast Cancer (I-III)","MONDO_0007254","ERBB2, GP60/Bcl2, ERBB2, Topoisomerase II/DNA, DNA","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04066790",176
"177","Pegylated liposomal doxorubicin, albumin-bound paclitaxel, trastuzumab","NA,NA,DB00072","NA, NA, 3001322","ERBB2","ENSG00000141736","Protein Expression & Amplification/Protein Expression","Positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","Breast Cancer (II-III)","MONDO_0007254","Topoisomerase II/DNA, GP60/Bcl2, ERBB2","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03994107",177
"178","GDC-9545",NA,NA,"ERBB2, ESR1","ENSG00000141736, ENSG00000091831","Protein Expression, Protein Expression","Negative, Positive","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Breast Cancer (I-III)","MONDO_0007254","ESR1","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03916744",178
"179","Pyrotinib","DB14993","51039030","ERBB2","ENSG00000141736","Protein Expression","Positive","AND","failed","Breast Cancer","MONDO_0007254","ERBB2","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03980054",179
"180","ZEN003694, Talazoparib","NA,DB11760","NA, 135565082","ERBB2, ESR1, PR, BRACA1, BRACA2","ENSG00000141736, ENSG00000091831, ENSG00000134551, NA, NA","Protein Expression, Protein expression, Protein Expression, Mutation, Mutation","Negative, Negative, Negative, Negative, Negative","AND, AND, AND, AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION NEGATIVE AND PR PROTEIN EXPRESSION NEGATIVE AND BRACA1 MUTATION NEGATIVE AND BRACA2 MUTATION NEGATIVE","Triple negative Breast Cancer","EFO_0005537","Bromodomain, PARP","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03901469",180
"181","Letrozole, Pyrotinib, SHR6390","DB01006,DB14993,NA","3902, 51039030, NA","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","Protein Expression & Amplification/Protein Expression, Protein Expression, Protein Expression","Positive, Positive, Positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Relpased/Metastatic Breast Cancer","MONDO_0007254","Aromatase, ERBB2, CDK4/CDK6","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03772353",181
"182","Capecitabine","DB01101","60953","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","Protein Expression, Protein expression, Protein Expression","Negative, Positive/Negative, Positive/Negative","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE","Resistant Breast Cancer/Non-metastatic Invasive Breast Cancer","MONDO_0007254","DNA/RNA/Protein Synthesis","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03958721",182
"183","Docetaxel, cyclophosphamide, trastuzumab","DB01248,DB00531,DB00072","148124, 2907, 3001322","ERBB2","ENSG00000141736","Protein Expression","Positive",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","Breast Neoplasms","MONDO_0007254","microtubles/VEGF, DNA, ERBB2","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03705429",183
"184","Pyrotinib","DB14993","51039030","ERBB2","ENSG00000141736","Protein Expression","Positive",NA,"ERBB2 PROTEIN EXPRESSION POSITIVE","Breast Cancer (IIA-III)","MONDO_0007254","ERBB2","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04126525",184
"185","SAR439859",NA,"130232326","ERBB2, ESR1","ENSG00000141736, ENSG00000091831","Protein Expression, Protein Expression","Negative, Positive","AND","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE","Locally Advanced or Metastatic Breast Cancer","MONDO_0007254","ESR1","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03816839",185
"186","Capecitabine","DB01101","60953","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","Protein Expression, Protein expression, Protein Expression","Negative, Positive, Positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Breast Cancer","MONDO_0007254","DNA/RNA/Protein Synthesis","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03638648",186
"187","Ipatasertib, Palbociclib, Fulvestrant","DB11743,DB09073,DB00947","24788740, 11431660, 104741","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","Protein Expression, Protein expression, Protein Expression","Negative, Positive, Positive","AND, AND/OR","ERBB2 PROTEIN EXPRESSION NEGATIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PR PROTEIN EXPRESSION POSITIVE","Locally Advanced Unresectable or Metastatic Breast Cancer","MONDO_0007254","Akt, CDK4/CDK6, ER","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04060862",187
"188","Eribulin, Balixafortide","DB08871,DB15370","11354606, 138752609","ERBB2","ENSG00000141736","Protein Expression","Negative",NA,"ERBB2 PROTEIN EXPRESSION NEGATIVE","Locally Recurrent or Metastatic Breast Cancer","MONDO_0007254","UNK, UNK","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03786094",188
"189","OBT076",NA,NA,"CD205, ERBB2","ENSG00000054219, ENSG00000141736","Protein Expression, Protein Expression","Positive, Negative","AND","CD205 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","Recurrent/Metastatic Breast Cancer","MONDO_0007254","CD205","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04064359",189
"190","Venetoclax, Palbociclib, Letrozole","DB11581,DB09073,DB01006","49846579, 11431660, 3902","ESR1, Bcl2, ERBB2","ENSG00000091831, ENSG00000171791, ENSG00000141736","Protein Expression, Protein expression, Protein Expression","Positive, Positive, Positive","AND, AND/OR","ESR1 PROTEIN EXPRESSION POSITIVE AND BCL2 PROTEIN EXPRESSION POSITIVE AND/OR ERBB2 PROTEIN EXPRESSION POSITIVE","Locally advanced or metastatic breast cancer","MONDO_0007254","UNK, CDK4/CDK6, aromatase","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03900884",190
"191","Metformin","DB00331","14219",NA,"ENSG00000183023",NA,NA,NA,"NA NA NA","Metastatic Breast Cancer (IV)","MONDO_0007254","UNK","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04143282",191
"192","Atezolizumab, Doxorubicin, Cyclophosphamide, Paclitaxel, Pertuzumab, Trastuzumab Emtansine","DB11595,DB00997,DB00531,DB01229,DB06366,DB05773","NA, 443939, 2907, 36314, NA, NA","ERBB2, ESR1, PR, PDL1","ENSG00000141736, ENSG00000091831, ENSG00000134551, ENSG00000120217","Protein Expression, Protein expression, Protein Expression, Protein expression","Positive, Positive/Negative, Positive/Negative, Positive/Negative","AND, AND/OR, AND/OR","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PR PROTEIN EXPRESSION POSITIVE/NEGATIVE AND/OR PDL1 PROTEIN EXPRESSION POSITIVE/NEGATIVE","Breast Cancer (I-III)","MONDO_0007254","UNK, UNK, UNK, UNK, UNK, UNK","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03726879",192
"193","FS-1502",NA,"2760428","ERBB2","ENSG00000141736","Protein Expression & Amplification/Protein Expression","Positive",NA,"ERBB2 PROTEIN EXPRESSION & AMPLIFICATION/PROTEIN EXPRESSION POSITIVE","Locally advanced or metastatic breast cancer","MONDO_0007254","ERBB2","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03944499",193
"194","IPI-549, Atezolizumab, nab-paclitaxel","NA,DB11595,NA","91933883, NA, 36314","ERBB2, ESR1, PR, PDL1","ENSG00000141736, ENSG00000091831, ENSG00000134551, ENSG00000120217","Protein Expression, Protein expression, Protein Expression","Negative, Negative, Negative, Positive","AND, AND, AND","failed","Locally advanced or metastatic Triple negative Breast Cancer","MONDO_0007254","PI3Kgamma, PDL1, microtubles","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT03961698",194
"195","All-trans retinoic acid, Anastrozole","NA,DB01217","444795, 2187","ESR1, ERBB2, Ki67","ENSG00000091831, ENSG00000141736, ENSG00000148773","Protein Expression, Protein expression, Protein Expression","Positive, Negative, Positive","AND, AND","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE AND KI67 PROTEIN EXPRESSION POSITIVE","Breast Neoplasm","EFO_0003869","RARα, UNK","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04113863",195
"196","Pyrotinib, Capecitabine","DB14993,DB01101","51039030, 60953","ERBB2, ESR1, PR","ENSG00000141736, ENSG00000091831, ENSG00000134551","Protein Expression & Amplification","Positive, Positive/Negative, Positive/Negative","AND, AND/OR","failed","Locally advanced or metastatic breast cancer","MONDO_0007254","EGFR/ERBB2/HER4, UNK","Austin","Breast Cancer (LT NCT04001621, 1-50)_austin.xlsx","clinicaltrials.gov","NCT04001621",196
